objectid,fullname,birth,death,birth_place,death_place,keywords,short_description,description,resources,contributor,image,oldlink
iwi-20,Abigail Scott Duniway,1834-10-22,1915-10-11,"Groveland, IL","Portland, OR",Politician,"Abigail Scott Duniway was a leader in Idaho's suffrage movement. She gave over 140 public lectures in Idaho from 1876 to 1895, and made a historic 6,000 word lecture to Idaho's statehood planning convention in 1880. In 1887 she began working full-time in Idaho towards equality. Idaho voted in 1896 to give women the vote because of Abigail's efforts.","Abigail emigrated with her family from Illinois on the Oregon Trail in 1852. After arriving in the Willamette Valley, Abigail became a teacher in Eola and in 1853 married Benjamin Charles Duniway. Abigail also wrote and published a novel, <em>Captain Grey's Company</em>, in 1859, the first book commercially published in Oregon. <br><br> The Duniways were farmers until Benjamin became permanently disabled in an accident, making Abigail the breadwinner for their six children. At first she opened and managed a small boarding school, then taught private school in Albany, then opened a millinery and notions shop. It was at the millinery and notions shop that Abigail became enraged by the mistreatment of her married patrons. Encouraged by her husband, she moved to Portland in 1871 to found <em>The New Northwest</em>, a weekly newspaper devoted to women's rights, including suffrage. The first issue was published on May 5, 1871 and she served as editor until she closed the paper in 1887. <br><br> From 1887 to 1895 Abigail lived in Idaho, working for the women's suffrage movement. A referendum finally succeeded in Idaho in 1896 thanks to her efforts. She later helped suffrage pass in Washington in 1910 and Oregon in 1912.","""Abigail Scott Duniway: Mother of Woman Suffrage in the Pacific Northwest,"" By Grit and by Grace: Eleven Women Who Shaped the West, edited by Glenda Riley and Richard W. Etulain|<a href=""http://en.wikipedia.org/wiki/Abigail_Scott_Duniway"">Wikipedia - Abigail Scott Duniway</a>|<a href=""http://oregonencyclopedia.org/articles/abigail_scott_duniway/"">Oregon Encyclopedia - Abigail Scott Duniway</a>|<a href=""http://www.opb.org/television/programs/oregonexperience/segment/abigail-scott-duniway-/"">Oregon Experience - Abigail Scott Duniway</a> - Oregon Public Broadcasting|<a href=""http://asduniway.org/"">""She flied with her own wings""</a> - the collected speeches of Abigail Scott Duniway (1834-1915)",Mike Bullard,duniway.jpg,https://journals.lib.uidaho.edu/index.php/IWI/abigail-duniway
iwi-1,Dr. Mary Elizabeth Donaldson (Mary Craker),1851-01-12,1941,"Reedsburg, WI","Napa, CA",Medical Practitioner;Prohibition,"Mary became the only woman MD graduate from Wooster University in Cleaveland in 1892. In 1898 she and her husband founded the Idaho Sanitarium Institute, in which she gave free medical care. She and her husband founded the Donaldson Home for the Aging, and she helped found Idaho Magazine, published Reform Appeal and was an effective campaigner for prohibition.","Before pursuing a career in medicine, Mary Elizabeth Donaldson, M.D. was a grade school teacher in both Wisconsin and Idaho. It was her experience caring for her ill brother that strengthened her desire to enroll in medical school. She was the only woman MD graduate from Wooster University in Cleaveland, in 1892. Once she returned to Boise with degree in hand, Mary and her husband (Thomas L. Johnston) founded the Idaho Sanitarium Institute, a spa-like institution meant to prevent and cure disease through proper diet and exercise in which she gave free medical care. She expanded her practice from 1894 to 1898 by setting up similar institutions in Milton, Oregon and Portland, Oregon. Her practice in Boise became so successful that Mary was able to give free or reduced-rate services to those in need. <br><br> Dr. Donaldson said: ""It is not from the few spectacular or so-called great deeds that the blessings of life chiefly come, but from the little ministries that fill the every days."" <br><br> She and her third husband (Captain Gilbert Donaldson, a well-known Boise businessman and philanthropist) founded the Donaldson Home for the Aging in the early 1900s, one of the first of its kind in Idaho. Additionally, Mary helped found the Idaho Magazine, was an effective campaigner for prohibition, raised five orphaned children, and helped to found and promote a national women's rights organization. Dr. Donaldson continued to practice medicine well into the 1920s.","<a href=""http://sfcompanion.blogspot.com/2014/01/boises-dr-mary-e-donaldson-pioneer-in.html"">""Boise's Dr. Mary E. Donaldson, Pioneer in Medicine and Elder Care""</a>, South Fork Companion, Evan Filby|Hiram Taylor French, History of Idaho: A Narrative Account of Its Historical Progress, Its People and Its Principal Interests, Lewis Publishing Co., Chicago and New York (1914)|James H. Hawley, History of Idaho: The Gem of the Mountains, The S. J. Clarke Publishing Company, Chicago (1920)",Mike Bullard,donaldson.jpg,https://journals.lib.uidaho.edu/index.php/IWI/mary-donaldson
iwi-29,Molly B'Damn (Maggie Hall),1853-12-26,1888-01-17,"Dublin, Ireland","Murray, ID",Pioneer,"Originally from Dublin, Molly moved to the west to seek her fortune among the mining camps. She worked in Murray, Idaho under the name Molly B'Damn or Molly Burdan as a prostitute. She was also a humanitarian, who cared for the townspeople during teh smallpox epidemic of 1886. Her legendary compassion led the citizens of Murray, Idaho to name an annual celebration in her honor.","Born in Dublin, Ireland to a Protestant father and Irish Catholic mother, Maggie Hall set sail for America at the age of 20. After arriving first in New York City, Maggie found work as a barmaid and married a man named Burdan, who soon convinced her to sell her body for money and gave her a new name: Molly. She left her husband after four years and headed west for a new life. <br><br> Travelling through California, Oregon, and Nevada Molly was a much sought after prostitute. Her earnings garnered her an expensive wardrobe and a lavish lifestyle, and when she heard of a prosperous gold strike in the Coeur d'Alenes in Idaho, Molly set off for Murray, Idaho. <br><br> On her way to Murray by pack-train, the party rain into a nasty blizzard. Molly left the group to save a young mother and her child, who were not dressed for winter weather. She ordered the pack train to go on without them, and the three huddled together in a makeshift shelter with Molly's furs and horse to keep them warm. The next day they rode into town and Molly was celebrated as a hero. <br><br> Molly became a successful madam in the small mining town and was beloved by the people. She fed anyone who was hungry and offered shelter to the homeless. During a smallpox outbreak, Molly called a town meeting to rally the healthy to help the sick and worked tirelessly to tend to the ill miners and their families. Eventually the disease dissipated, but Molly never recovered. She succumbed to consumption and died in 1888. <br><br> To this day, the citizens of Murray celebrate Molly B'Damn each year with the Annual Molly B'Damn Gold Rush Days event.","<a href=""http://en.wikipedia.org/wiki/Maggie_Hall"">Wikipedia - Maggie Hall</a>|<a href=""http://karibovee.com/2013/02/26/molly-bdamn/"">Molly B'Damn</a> - Kari Bovee|<a href=""http://silver-valley.com/sprag_pole/"">The Sprag Pole Inn and Museum</a> in historic Murray, Idaho|Anne Seagraves, Soiled Doves: Prostitution in the Early West, Wesanne Publications, Hayden, Idaho, 1994.|Myles Dungan, How the Irish Won the West, New Island, Dublin, Ireland, 2006.|<a href=""http://www.3rd1000.com/history3/events/aorw.htm"">Angels or Whores</a> - Ken Adams",Annie Gaines,hall.jpg,https://journals.lib.uidaho.edu/index.php/IWI/maggie-hall
iwi-15,Benedicte Wrensted,1859-02-10,1949-01-19,"Hjorring, Denmark","Los Angeles, CA",Photographer;Artist,"Benedicte Marie Wrensted was a Danish-American photographer who emigrated to Pocatello, Idaho and began a photography studio. Wrensted's photographs of local Native American tribes, including the Shoshone and Bannock Native Americans, are considered to be of great anthropological importance. Many of her photographs are preserved at the Smithsonian Institute and the National Archives.","Benedicte Marie Wrensted was a notable Danish-American photographer best known for the many photographs she took of the Shoshone native people in Idaho. <br><br> Born in Denmark, Benedicte learned photography (one the the few professions considered suitable for women at the time) from her aunt, Charlotte Borgen. She then opened her own studio in Horsens, which she ran until she emigrated to the United States in 1894. <br><br> After arriving in America, Benedicte moved to Pocatello, where her brother Peter had settled. Here she acquired a studio in 1895 where she took photographs of the local inhabitants and recorded the growth of the town. Her documentary photographs of the Shoshone and Bannock Native Americans are still considered to be of great anthropological importance. Many of her Native American images are preserved at the Smithsonian Institution and the National Archives.","<a href=""http://anthropology.si.edu/wrensted/"">Benedicte Wrensted: An Idaho Photographer in Focus</a>|<a href=""http://en.wikipedia.org/wiki/Benedicte_Wrensted"">Wikipedia - Benedicte Wrensted</a>",Ruth Funabiki,wrensted.jpg,https://journals.lib.uidaho.edu/index.php/IWI/benedicte-wrensted
iwi-21,Emma Yearian (Russell),1865,1951-12-25,"Leavenworth, KS","Dalmon, ID",Pioneer;Politician,"Named the Sheep Queen of Idaho, Emma Yearian was elected to the Idaho Legislature in 1930. After she moved to the west at 21, Emma made a name for herself in the sheep business, starting with 1,200 ewes in Lemhi Valley. Her business prospered through the first World War, and she survived the great depression with her ""head bloody but unbowed,"" she said.","Emma Russell was raised in Illinois and attended Southern Illinois Normal College (now Southern Illinois University). After receiving her teaching certificate in 1883, she came to Idaho to look for a teaching position. Emma started working as a tutor and governess for a family near Salmon, Idaho and then spent two years teaching in small schools in the Lemhi Valley. A pianist, she was also in demand at local country dances and it was at one of these dances she met her husband, Thomas Yearian, a fiddler and young cattle rancher. The two were married in 1889. <br><br> In 1902, after having six children, Emma decided to go into the sheep business. It was an unpopular choice at the time, as the Lemhi and Salmon River valleys had always been cattle country. Despite opposition, however, her venture was a success. By 1910, the family moved out of their old log cabin into a fine six-bedroom stone house, complete with electric lights and indoor plumbing. By the 1930s, her sheep operation had spread over 2,500 acres of range, with 5,000 sheep. <br><br> Emma's forceful personality led her to politics in 1930. She ran for the Idaho House of Representatives and became the first woman to represent Lemhi County. Her re-election effort, however, was swamped by the Democratic landslide in the next election. <br><br> She continued her sheep operation until very late in her life, despite a steady decline in U.S. demand for wool and lamb.","Albright, Syd. <a href=""http://www.cdapress.com/columns/syd_albright/article_1c922a2c-302d-50e1-8cb2-e1ca37091681.html"">""Amazing Emma Yearian.""</a> Coeur d'Alene Press. 2/8/2015.|Lynn E. Bragg. <em>More than Petticoats: Remarkable Idaho Women</em>. 2001.|<a href=""http://sfcompanion.blogspot.com/2015/02/emma-russell-yearian-wife-mother-and.html"">Emma Russell Yearian: Wife, Mother, and “Sheep Queen of Idaho”</a> - South Fork Companion.|Emma R. Yearian, “Developing the Range Ewe,” American Sheep Breeder and Wool Grower, Vol. 40, No. 1, Chicago (January 1920).|Fred Snook (Ed.), Centennial History of Lemhi County, Idaho, Lemhi County History Committee, Salmon, Idaho (1992).",Mike Bullard,yearian.jpg,https://journals.lib.uidaho.edu/index.php/IWI/emma-yearian
iwi-12,Permeal Jane French,1867-05-08,1954,"Idaho City, ID","Seattle, WA",Educator;Politician,"Permeal Jane French was the first woman elected to state office in Idaho when she became the Superintendent of Public Instruction in 1899. Additionally, she was the first Dean of Women at the University of Idaho (1908-1936) and was considered one of the best known and loved educators in Idaho at the time. Permeal was an advocate for women's education and held degrees from the University of Idaho and George Washington University.","Permeal Jane French was the first woman elected to state office in Idaho and was considered one of the best known and best loved educators in Idaho of her time. She was Superintendent of Public Instruction in the state from 1899-1903 and served as first Dean of Women at the University of Idaho from 1908-1936. <br><br> Prior to her appointment in 1908, the position had existed in a similar form, but French placed more significance on the role. She built the University's first student union building, the Blue Bucket, using her personal funds. During her 28 years of service she touched the lives of many students with her thoughtful counsel. According to university historian Rafe Gibbs, Dean French treated each and every student with personal attention and courtesy. <br><br> As Dean, she established many traditions at the University, including women's residence halls. During the Depression, when parents were sending sons, not daughters, to college she toured the state to lecture on the importance of education for women. <br><br> Jane graduated from the College of Notre Dame in San Francisco in 1887 and held graduate degrees from George Washington University and the University of Idaho.","<em>Dowager of discipline: the life of Dean of Women Permeal French</em>, Dick D'Easum.",Annie Gaines,french.jpg,https://journals.lib.uidaho.edu/index.php/IWI/permeal-french
iwi-11,Nellie Stockbridge,1868,1965-05-22,Illinois,"Wallace, ID",Artist,"In 1898 Nellie Stockbridge left her home in Illinois to work with Thomas Barnard at his Wallace, Idaho photo studio. In 1907 she purchased a quarter share of the business and eventually assumed full ownership. Nellie photographed the people and places of the Coeur d'Alene mining district, creating a visual record of historical significance to Idaho and beyond.","In 1898 Nellie Stockbridge left her home in Illinois to work with Thomas Barnard at his Wallace, Idaho photography studio. In 1907 she purchased a quarter share of the business and eventually assumed full ownership. Over the next decades, working often to exhaustion, Nellie photographed the people and places of one of the richest mining areas of the world, the Coeur d’Alene Mining District. While portrait photography was the mainstay of her studio, Nellie skillfully photographed the area’s mining industries, both above ground and below, creating a visual record of historical significance to Idaho and beyond.","<em>Mining Towns: the photographic record of T.N. Barnard and Nellie Stockbridge from the Coeur d'Alenes</em>, Patricia Hart &amp; Ivar Nelson. 1993.|<a href=""http://www.lib.uidaho.edu/digital/barstock/"">Barnard Stockbridge Photograph Collection</a>, University of Idaho Digital Initiatives|Syd Albright, <a href=""https://www.cdapress.com/archive/article-39017cc5-a6df-5ac6-a3b2-a06609e05cf6.html"">""Nellie Stockbridge: A tough photographer through tough times""</a>, The Coeur d'Alene Press.",Annie Gaines,stockbridge.jpg,https://journals.lib.uidaho.edu/index.php/IWI/nellie-stockbridge
iwi-2,Mary Allen Wright,1868-12-03,1948-03-31,"Polk, Missouri","Bonners Ferry, ID",Politician;Educator,"Mary Ellen was nominated to be State School Superintendent of Public Instruction, and was the first woman to hold statewide elected office in Idaho when she was elected to the Idaho State Legislature in 1898. Mary also chaired the Populist Party, who nominated her for Speaker of the House. In 1901, the legislature elected her Clerk of the House. She was also a manager of Wright's Loan and Investment Company and a prominent teacher in North Idaho.","Born in the farming community of Polk, Missouri, Mary Allen was the daughter of a minister and farmer, Rev. J.C. Allen. After marrying George W. Wright, the couple moved west to Rockford, Washington and then to Rathdrum, Idaho in 1890. During this time, Mary worked as a teacher and became active in the populist movement and woman's suffrage. <br><br> In 1898, Mary Allen was nominated for State School Superintendent of Public Instruction by the Populist Party. She declined that nomination, and instead ran for and was elected to the Idaho State Legislature. Representative Wright served as the Chair of the Populist Caucus in the fifth session of the Idaho House of Representatives, becoming the first woman to lead a party in a state legislature. After completing her term, she was elected Clerk of the House for the sixth session in 1901, and convened the seventh session in 1903. She was additionally elected delegate to the national convention in Sioux Falls, South Dakota, and continued to work professionally in politics until the Populist Party ceased to exist. After serving as Secretary of the Idaho Pan American Exposition Committee in late spring 1901, Mary worked for Congressman Thomas L. Glenn until she sued him in court for unpaid wages. <br><br> In 1904, Mary Allen divorced her husband and returned to teaching in Northern Idaho. She also studied law and managed Wright's Loan and Investment Company in Bonners Ferry.","<a href=""https://www.nwhm.org/html/exhibits/legislators/Idaho.html"">""Women Wielding Power: Pioneer Female State Legislators""</a>|“Mrs. Mary Wright Services Saturday,” Bonners Ferry Herald, April 1, 1948.|“Billie Wright Burial Here” (grandson), The Rathdrum Tribune, November 26, 1937; “Mary Wright, Former Resident, Passes: Buried Here Saturday,” April 9, 1948.|An Illustrated History of North Idaho, Embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone counties. State of Idaho comp. Henry D. Hap, East Spokane, WA (Western Historical Pub. Co., 1903), 882.",Mike Bullard,wright.jpg,https://journals.lib.uidaho.edu/index.php/IWI/mary-wright
iwi-9,Dr. Minnie Frances Howard,1872-08-12,1965,"Memphis, MO",?,Medical Practitioner;Philanthropist,"Legendary across the state in the early 1900s, Minnie was a graduate of Kansas University with post graduate studies in New York, Vienna, and Chicago. She began her 20 year medical practice in 1903 in Pocatello, ID. As an advocate for Fort Hall she wrote several articles for Idaho newspapers, and her philanthropy in arts and history resulted in the Carnegie Library in Pocatello.","Dr. Minnie Howard, one very few women physicians practicing in the American West in the early 20th century, became known as one of Idaho's most energetic and influential women. <br><br> Dr. Howard studied medicine with her husband, William Forrest Howard, at the Kansas City Medical College (later merged with the University of Kansas) and graduated in 1899 after earning straight A's. The couple first set up a medical practice in Kansas, but moved to Pocatello, Idaho in 1902 and established the Pocatello General Hospital in 1907. Dr. Minnie, as she was known to her family, friends, and patients, left the practice officially when the couple's third son was born in 1908. All four sons followed their parents into medicine. <br><br> Dr. Howard secured a grant from Andrew Carnegie to help found the Pocatello Carnegie Library in 1908. She was also the first co-chair of the American Red Cross of Bannock and Caribou counties, a member of the American Medical Association, the Department of Indian Welfare, and the Daughters of the American Revolution. From 1931 to 1956, Dr. Minnie Howard was appointed Bannock County Historian by the Idaho State Historical Society. Minnie was particularly interested in American Indian health care and was a friend of Shoshone Chief Pocatello's daughter. She would often visit the reservation to provide medical care and help distribute food. Concerned about alcohol use on the reservation, Dr. Minnie was active in the Women's Christian Temperance Union. <br><br> Additionally, Dr. Howard was fascinated with Old Fort Hall, an important point on the Oregon Trail that had been lost to history. With the help of two friends, she located and marked the site she believed to be Old Fort Hall and her claims were vindicated in 1933. In 1983, Howard Mountain near Pocatello was named in her and her husband's honor.","<a href=""http://www.isu.edu/library/special/mc001t.htm"">Idaho State University Special Collections, MC001</a>|<a href=""http://www.nlm.nih.gov/changingthefaceofmedicine/physicians/biography_353.html"">Dr. Minnie Frances Hayden Howard - NLM</a>|<a href=""https://pocatellowriters.wordpress.com/about/"">About Minnie Howard</a>, Janice K. Anderson. Pocatello Writers.|History of Idaho: a narrative account of its historical progress by Hiram Taylor French (1914)",Mike Bullard,howard.jpg,https://journals.lib.uidaho.edu/index.php/IWI/minnie-howard
iwi-5,Jennie Hughes Smith (Jennie Eva Hughes),1877-06-20,1939-08-19,"Washington, D.C.","Spokane, WA",Pioneer;Idaho Alumni,"Jennie, Class of 1899, was the first African-American to graduate from the University of Idaho. Born in Washington, D.C., her family settled in Moscow, Idaho in the early 1890s. After graduating with a Bachelor of Science, Jennie married George Smith and later had four children. Sadly, her son Berthol, who was the second African-American to enroll at the University of Idaho, died in 1919 while still a student.","Jennie Eva Hughes, Class of 1899, was the first African-American to graduate from the University of Idaho. Jennie's family had travelled west from Washington, D.C. to Idaho, where according to the Census of 1890, there were only 201 African-Americans in the entire state. Although there is no doubt the family encountered prejudice of some sort, it is known that the family was well regarded in Moscow. Although some western states restricted the enrolment of black students in public schools, Jennie had not been prohibited from attending Moscow's public schools and she graduated from Moscow High School in 1895. <br><br> As a student at the University of Idaho, according to historian Keith Petersen in <em>This Crested Hill: An Illustrated History of the University of Idaho</em>, Jennie “accumulated an admirable academic record.” She won the prestigious Watkins Medal for Oratory in 1898, and graduated with a Bachelor of Science degree, one of seven students in the Class of 1899. In a speech to her classmates at the time of their graduation, Jennie urged them to “occupy positions of usefulness.” After college, Jennie met and married George Augustus Smith and the two relocated to Wardner, Idaho where George worked as a miner. <br><br> Despite the success George enjoyed in the Silver Valley, Jennie and George and their four children moved to Spokane, Washington in 1912 in part because Jennie did not consider the rough-and-tumble atmosphere of the mining towns ""a suitable place to raise children."" Jennie's son Berthol was the second African-American student to enroll in the University of Idaho, but sadly died in 1919 while still a student. Another son, Leonard, earned a law degree and practiced as an attorney in Spokane while her youngest son graduated from Washington State University in 1935 with a degree in Electrical Engineering. <br><br> Because Jennie left neither letters nor a diary, it is not known if Jennie herself believed her life had been one of usefulness. But there can be no dispute that history records Jennie as a remarkable woman who, at a time when less than one percent of Americans earned a bachelor’s degree, seized the opportunity of education, leaving a legacy of determination and distinction.","<a href=""http://www.lib.uidaho.edu/special-collections/dm/dm2007/jennie.html"">Not of Noble Birth: The Triumph of Jennie Hughes Smith</a>|<em>This Crested Hill: An Illustrated History of the University of Idaho</em>, Keith Petersen, 1988",Annie Gaines,hughessmith.jpg,https://journals.lib.uidaho.edu/index.php/IWI/jennie-smith
